Label,Message
ham,"Hey! Can you send me the slides from today’s class?"
spam,"You’ve won a car, which is fully free of cost!"
ham,"Work is done!"
spam,"Congratulations! You've won a prize, click here to claim"
ham,"I sent the documents yesterday, Check it!"
spam,"Get a free tv now!"
ham,"Meeting shifted to 4 PM. Hope that’s okay!"
spam,"Claim your 90% off shoes before it disappears!"
ham,"Can we push the project deadline by a day?"
spam,"Click here to buy the moon at 90% off. Limited time only!"
ham,"Did you see the announcement from the college?"
spam,"FREE vacation to Mars. Sign up and bring oxygen!"
ham,"Let’s review the report before submitting it."
spam,"Lucky winner! Get your smartwatch free."
ham,"Traffic here, be there soon."
spam,"Congratulations! You’ve been selected for a spacewalk with NASA."
ham,"Can you help me debug this code?"
spam,"Win prizes if your name starts with a vowel!"
ham,"Is the work done?"
spam,"Download this app to predict your next sneeze!"
ham,"Where’s the seminar happening again?"
spam,"Get Books for free!"
ham,"Don't forget to back up your files today."
spam,"Get a smart fridge that is full free of cost!"
ham,"Notes uploaded in the group — check them out."
spam,"Hurry! Only 1 second left to win!"
ham,"Let’s go to the library to prep for the quiz."
spam,"Open this PDF to unlock the secrets of the universe."
ham,"Great job on the presentation — really well done!"
spam,"You’re breathing right now. Click here to celebrate with a gift!"
ham,"I’ll be there in 5 minutes."
spam,"Get a 100% free cat-sitter for your imaginary cat!"
ham,"Lunch break in 10 minutes?"
spam,"You've been selected for an invisible scholarship!"
ham,"The class has been postponed to next Monday."
spam,"Don't miss the secret sale only accessible by blinking twice!"
ham,"Let’s complete the documentation today."
spam,"This is not a scam. But it might be!"
ham,"Check the assignment questions uploaded on the portal."
spam,"You qualify for zero gravity — tap to float!"
ham,"Want to rehearse for tomorrow’s presentation?"
spam,"Get a time machine — first 5 users only!"
ham,"Did you complete your report?"
spam,"You've inherited a planet. Click to claim ownership!"
ham,"Reminder: submission deadline is this Friday."
spam,"This app knows your future!"
ham,"Let’s finalize the UI design this evening."
spam,"Claim your free dragon egg! No magic required."
ham,"Are you studying?"
spam,"Get free access to air for 12 hours!"
ham,"Forward this message to unlock secret cafeteria menu."
spam,"You've been randomly chosen for a paid job!"
ham,"Submit your attendance before 5 PM."
spam,"Special offer: Buy 1 get 7 free!"
ham,"Results will be out by next week."
spam,"New app lets you talk to plants. Try now!"
ham,"Can you check my code once before submission?"
spam,"Want to speak all languages instantly? Click here!"
ham,"Don’t forget to return the library book."
spam,"You’ve won free advice — just pay shipping!"
